subject,predicate,object
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619220
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619381
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608971
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619924
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/620603
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613179
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/231670
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/600118
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607944
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/226800
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/206900
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/309590
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300048
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300966
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617008
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/233400
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617830
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619420
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619487
